Параметры лексем	Ижорский (сойкинский) [Nirvi]	Ижорский (сойкинский) [учебная]	Финский	Эстонский	Немецкий	Комментарии
n	auriηGo [L-suu]	aurinko	aurinko			
v	aŭv̆veDa	auvveta	[run.] @ aueta			
v	avaDa	avata	avata			
v	ava₍ella	avaella	availla			
v	avahtua [L-suu]	avahtua	havahtua | herätä			
v	avahua	avahua	avautua			
n	avanDo	avanto	avanto			
v	avaroittā	avaroittaa	tehdä tilavaksi | suurentaa			
v	avittā | avitta- | avuttā	avittaa | avitta- | avuttaa	auttaa		helfen	
v	avittammaa	avittammaa	auttaa		helfen	
nom	avo	avo	avoinna			
n, nom	avohia | hia avoBǟ	avohia | hia avopää	avopää			
n	avomeri	avomeri	avomeri			
nom	avoiZū | avoi ͜ Zū	avoisuu | avoi suu	avosuu			
adj	avonain	avonain	?			
adv	avo·ϑś | avoś	avos' | avos'	ehkä			
n	av̆vain	avvain	avain			
adj	av̆vāro	avvaaro	tilava | avara			
pr n	Ābrama	Aabrama	Aabraham			
n	āDa | āda [Ro]	aata | aada	helvetti	põrgu		
pr n	ĀDo | Āto	Aato | Aato	Aatami			
v	āDuttā	aatuttaa	totuttaa			
n	āGentti	aakentti	agentti			
n	āglitsina	aaglitsina	englantilainen			
n	āloĭ	aaloi	vaalean punainen			
int	āmen | aamen	aamen | aamen	?			
n	āmpūssen [Ro]	aampuussen	"tähed ""(kirjaimet)"""			
n	āmu | aamu [Nar] [Ro]	aamu | aamu	aamu			
adj, adv	āmuin [Ylä-L]	aamuin	ammoinen | ammoin			
n	āmuin | aamuin [Nar]	aamuin | aamuin	aamu			
adv	āmuⁱZèl | āmuⁱZèl | aamusel [Nar]	aamuisel | aamusel | aamusel	aamusella			
n	ānnua | aannua | āǹua [Hev]	aannua | aannua | aanua	?			
n	ārnitsa	aarnitsa	ostokankaasta valmistettu naisten puku			
n	āstaGa | āstoⁱGa | āstoⁱGa | āstaika [L-suu] [Ro]	aastaka | aastoika | aastoka | aastaika	vuosi			
n	ātto	aatto	aatto	eelõhtu		
v	āttua	aattua	tottua | käydä tavaksi			
			asettua | tyyntyä			
